Attendance,Current_GPA,Previous_GPA,GPA_Diff,NonProductive_Hrs,SemiProductive_Hrs,Productive_Hrs,Club_Score,Internship_Status,Family_Income,Sentiment_Score,Dropout_Prob
48,6.97,8.132608530656828,-1.16,2.2,0.2,0.2,3,1,5-10 LPA,-0.25,1.0
65,6.88,5.8091153602214005,1.07,0.5,0.1,0.3,0,1,5-10 LPA,-0.37,0.9
92,7.55,8.10433489842529,-0.55,0.9,2.5,0.3,5,1,<1 LPA,0.07,0.45
41,8.95,8.465311343392884,0.48,0.3,2.1,0.7,3,1,<1 LPA,0.32,0.55
59,6.09,7.465502324965837,-1.38,0.3,2.1,0.8,4,1,5-10 LPA,0.41,0.9
67,8.07,9.664012282534495,-1.59,2.3,1.9,2.9,1,0,1-5 LPA,-0.73,1.0
86,7.39,6.776674729773322,0.61,3.9,1.7,0.2,0,1,1-5 LPA,0.63,0.7
99,5.6,5.160354291273135,0.44,6.6,1.0,1.0,0,0,5-10 LPA,0.36,0.95
46,9.27,9.957670309583841,-0.69,2.0,1.5,1.7,5,1,1-5 LPA,0.78,0.75
83,8.78,8.470295480168387,0.31,0.4,0.1,0.8,2,1,<1 LPA,-0.1,0.5
47,7.95,7.913671025654209,0.04,0.2,1.5,0.3,5,0,<1 LPA,0.79,0.8
86,9.1,9.120310736433927,-0.02,3.4,2.3,0.3,1,1,1-5 LPA,0.73,0.6
74,9.2,7.664261475041874,1.54,1.7,1.0,0.0,1,1,1-5 LPA,-0.12,0.7
53,8.25,8.238929803124611,0.01,1.9,0.7,0.4,3,1,1-5 LPA,-0.24,0.75
56,9.02,8.46821778074866,0.55,3.0,0.5,1.4,0,0,1-5 LPA,0.87,0.95
75,8.18,7.785501742080182,0.39,2.4,1.5,0.0,3,0,1-5 LPA,0.43,0.6
89,8.08,9.23490560277505,-1.15,3.6,1.8,0.2,1,1,<1 LPA,0.86,0.75
79,7.71,6.7047944845765945,1.01,0.1,3.1,1.2,2,1,<1 LPA,0.59,0.45
43,8.52,9.17056414939838,-0.65,2.8,0.6,1.5,0,1,>10 LPA,0.22,0.9
41,4.95,4.726829655734553,0.22,3.8,2.2,0.6,1,0,1-5 LPA,-0.77,1.0
45,9.29,9.066191865203331,0.22,0.7,1.2,1.2,2,1,>10 LPA,-0.42,0.8
93,9.23,9.86229751684137,-0.63,2.0,3.2,0.5,5,1,5-10 LPA,0.94,0.6
81,4.18,4.452041035655112,-0.27,0.8,1.1,0.2,4,1,1-5 LPA,-0.36,0.85
43,8.95,9.406490397775624,-0.46,6.3,1.1,0.5,1,1,5-10 LPA,-0.81,1.0
93,4.77,5.544547728426289,-0.77,0.1,1.3,0.9,4,1,<1 LPA,0.42,0.65
68,6.01,5.744953293453341,0.27,1.7,2.1,3.0,3,1,5-10 LPA,0.47,0.55
57,8.46,7.9702106123938,0.49,0.4,5.0,0.1,4,1,1-5 LPA,-0.43,0.8
65,4.96,4.091879578753762,0.87,2.5,0.1,0.7,1,1,5-10 LPA,-0.4,1.0
83,8.91,8.249671576016835,0.66,0.4,0.1,0.4,4,1,<1 LPA,-0.06,0.45
73,8.99,10.0,-1.01,0.5,4.2,0.7,0,1,5-10 LPA,-0.96,1.0
49,7.04,8.035743664589429,-1.0,1.4,1.1,0.0,1,1,<1 LPA,0.58,0.9
75,4.04,4.0,0.04,4.9,1.4,0.4,2,0,>10 LPA,-0.37,1.0
53,5.72,4.662033634605144,1.06,0.5,1.0,1.7,4,0,1-5 LPA,0.71,0.9
70,7.7,8.085492849374793,-0.39,0.3,0.1,0.8,0,0,5-10 LPA,0.61,0.75
87,9.89,10.0,-0.11,2.8,2.2,0.6,3,0,1-5 LPA,0.32,0.7
54,7.79,8.229107068253892,-0.44,1.4,2.1,0.3,3,0,1-5 LPA,-0.35,1.0
47,5.56,5.356035365157041,0.2,4.9,0.6,0.4,4,1,5-10 LPA,0.03,0.95
53,7.8,7.699636591997679,0.1,0.3,0.5,0.5,3,1,>10 LPA,-0.11,0.65
62,7.24,7.502303619327487,-0.26,2.1,2.7,1.8,2,1,<1 LPA,-0.32,1.0
99,8.68,8.748714405034663,-0.07,0.5,0.1,3.4,1,0,>10 LPA,0.7,0.45
96,4.64,4.0,0.64,0.3,3.2,0.6,0,0,5-10 LPA,-0.03,0.9
79,8.57,8.386160295539845,0.18,2.3,0.4,0.5,5,1,5-10 LPA,0.67,0.45
60,7.25,6.568874852591749,0.68,1.8,1.3,1.9,4,1,1-5 LPA,-0.79,0.85
55,9.78,9.920169135126809,-0.14,2.8,4.1,0.6,3,1,1-5 LPA,-0.72,1.0
84,6.05,8.438207202082728,-2.39,0.7,1.7,0.8,1,1,>10 LPA,0.95,0.9
57,7.8,8.093985332379443,-0.29,1.2,0.8,0.3,5,1,1-5 LPA,0.18,0.75
86,9.59,9.339176251062081,0.25,1.0,1.8,1.4,2,1,1-5 LPA,0.02,0.4
92,4.62,5.357441201581802,-0.74,8.0,0.6,0.8,3,1,<1 LPA,0.05,0.85
63,9.62,10.0,-0.38,0.7,0.5,1.7,3,1,<1 LPA,-0.57,0.75
65,8.13,8.466075592361474,-0.34,0.7,6.0,1.5,0,1,5-10 LPA,0.44,0.75
64,4.41,4.895480474572537,-0.49,0.9,2.1,0.2,2,1,5-10 LPA,-0.83,1.0
99,5.81,7.455234851863633,-1.65,1.7,1.6,1.3,2,1,1-5 LPA,0.15,0.95
99,8.25,7.345289251739267,0.9,0.6,0.7,1.6,4,0,<1 LPA,0.14,0.6
99,4.4,4.778905661449164,-0.38,4.9,0.1,0.4,5,1,1-5 LPA,0.83,0.85
84,7.49,6.74889509601477,0.74,0.6,0.0,0.2,0,1,1-5 LPA,0.05,0.6
80,6.08,6.524410117073799,-0.44,4.5,1.2,0.0,4,1,1-5 LPA,-0.73,0.95
68,7.73,6.995050790811125,0.73,0.2,2.2,0.6,0,1,>10 LPA,0.15,0.6
54,4.27,4.0,0.27,2.1,1.2,0.4,2,1,5-10 LPA,-0.82,1.0
84,9.23,8.993928068609675,0.24,4.8,2.8,0.8,0,1,<1 LPA,-0.59,0.9
40,9.84,10.0,-0.16,0.4,0.1,0.2,0,1,>10 LPA,-0.94,1.0
64,9.81,10.0,-0.19,6.9,0.7,2.0,0,0,1-5 LPA,0.03,1.0
46,8.5,7.503426098842892,1.0,1.2,0.4,0.3,1,1,5-10 LPA,-0.83,0.9
48,4.78,4.8239472887998796,-0.04,5.8,0.9,0.3,1,0,<1 LPA,-0.06,1.0
63,8.55,7.9823361162006625,0.57,2.3,0.1,0.7,5,0,5-10 LPA,0.87,0.6
40,4.15,4.0,0.15,0.7,4.6,0.7,5,1,1-5 LPA,0.44,0.8
83,4.13,4.0,0.13,0.4,0.4,0.2,2,0,1-5 LPA,-0.85,0.95
47,5.94,5.693213769235345,0.25,0.7,3.8,0.3,0,1,<1 LPA,-0.55,1.0
63,6.93,8.871373189076419,-1.94,0.2,0.8,0.2,2,0,<1 LPA,0.35,1.0
50,8.62,8.966367860288557,-0.35,0.3,6.0,1.3,1,0,<1 LPA,0.79,1.0
90,8.1,6.997905999396609,1.1,0.2,1.2,1.5,0,1,1-5 LPA,-0.93,0.7
56,6.68,6.228180796663246,0.45,1.1,4.0,0.6,4,1,<1 LPA,0.62,0.8
47,5.64,6.457106636343519,-0.82,3.2,0.0,1.3,1,1,5-10 LPA,0.12,1.0
74,9.98,10.0,-0.02,0.3,2.1,1.3,1,1,<1 LPA,0.09,0.6
74,6.56,5.291213350209633,1.27,0.3,3.5,0.1,1,1,5-10 LPA,0.92,0.65
72,6.71,5.206060491888763,1.5,2.1,0.2,3.4,0,1,<1 LPA,0.5,0.7
98,4.98,6.4767721402974265,-1.5,0.4,0.2,1.7,5,1,>10 LPA,0.7,0.8
44,8.77,9.081691341896722,-0.31,0.2,0.8,0.2,3,1,>10 LPA,-0.29,0.75
81,8.16,7.465365814498907,0.69,0.4,4.1,0.2,4,1,1-5 LPA,0.11,0.4
78,5.32,5.747703268897949,-0.43,5.1,1.2,0.1,4,0,5-10 LPA,0.23,0.9
97,4.49,4.0,0.49,3.4,1.1,0.1,2,1,<1 LPA,-0.36,0.9
80,8.08,8.082700405277729,-0.0,0.9,0.2,1.4,0,1,>10 LPA,0.14,0.5
67,7.93,8.192256938274468,-0.26,2.1,0.0,0.6,5,1,1-5 LPA,-0.53,0.85
46,5.64,6.379416111630263,-0.74,1.5,2.5,1.5,1,1,<1 LPA,-0.71,1.0
48,9.71,8.89888323816597,0.81,2.3,0.1,1.4,3,1,1-5 LPA,-0.25,0.75
47,4.91,4.978549729122688,-0.07,2.3,1.5,0.9,0,1,<1 LPA,0.48,1.0
51,6.59,5.84966029915233,0.74,2.0,3.7,1.2,0,1,1-5 LPA,0.83,0.95
73,9.66,9.864307004539453,-0.2,0.6,0.4,0.0,5,0,5-10 LPA,-0.08,0.7
72,6.52,5.80372294210958,0.72,0.1,1.6,0.4,3,0,1-5 LPA,0.29,0.7
87,7.83,7.503519328671824,0.33,1.2,0.1,1.0,1,1,1-5 LPA,-0.79,0.7
94,6.39,5.593347684167816,0.8,4.4,1.4,0.0,0,1,<1 LPA,0.81,0.8
62,5.65,6.170908993458926,-0.52,1.7,0.3,0.0,4,0,1-5 LPA,0.14,1.0
63,9.9,10.0,-0.1,3.6,2.0,1.9,4,0,<1 LPA,0.56,0.9
76,6.46,6.272303544034069,0.19,8.0,0.5,1.2,3,1,5-10 LPA,0.59,0.65
74,9.36,9.390590395968022,-0.03,0.4,0.9,0.3,1,1,<1 LPA,-0.49,0.8
83,5.38,4.221126868293164,1.16,2.4,1.4,1.2,3,1,1-5 LPA,0.06,0.65
79,5.28,5.040258681594571,0.24,2.2,0.3,1.6,0,1,1-5 LPA,0.92,0.8
61,4.19,4.149836306366605,0.04,7.8,2.0,0.4,4,0,1-5 LPA,-0.82,1.0
66,7.91,10.0,-2.09,8.0,0.5,0.0,2,1,5-10 LPA,0.37,1.0
74,6.21,5.3204263793806685,0.89,2.3,1.6,2.7,3,0,1-5 LPA,0.92,0.7
40,9.19,10.0,-0.81,0.6,0.3,0.4,2,0,1-5 LPA,-0.4,1.0
74,6.84,7.637487018772646,-0.8,3.2,1.7,0.1,2,1,1-5 LPA,0.72,0.8
76,9.81,10.0,-0.19,0.2,0.2,0.7,5,1,1-5 LPA,0.87,0.45
86,5.11,6.516896387356107,-1.41,3.0,0.8,1.5,4,0,1-5 LPA,0.49,1.0
53,9.21,9.507684378085491,-0.3,4.8,0.4,0.3,3,0,1-5 LPA,-0.54,1.0
42,8.66,8.971327356534344,-0.31,1.0,2.1,0.3,2,1,5-10 LPA,-0.33,0.9
40,8.63,8.587503477585965,0.04,2.0,0.5,0.3,0,1,<1 LPA,-0.93,1.0
44,9.07,10.0,-0.93,1.1,3.2,4.8,5,0,1-5 LPA,0.66,0.85
65,8.57,9.447175387048707,-0.88,1.2,3.3,0.2,1,1,<1 LPA,0.7,0.75
94,7.76,7.25945817000303,0.5,0.7,0.3,0.9,5,0,<1 LPA,0.27,0.6
53,4.79,4.0,0.79,2.9,1.4,2.6,1,1,1-5 LPA,-0.29,0.9
78,4.2,4.037615490083475,0.16,5.5,0.1,0.2,4,1,>10 LPA,-0.85,0.95
66,9.53,8.889969148481882,0.64,5.7,0.7,3.5,3,1,>10 LPA,0.51,0.55
48,7.7,7.649180340307716,0.05,0.4,1.9,2.9,3,1,<1 LPA,0.45,0.45
54,8.78,9.76995050774731,-0.99,4.2,1.6,2.2,1,1,1-5 LPA,0.83,0.8
54,6.89,6.524158675930567,0.37,2.7,1.5,0.2,0,1,1-5 LPA,0.46,0.9
65,4.7,4.66574129495074,0.03,0.6,0.5,1.0,1,0,<1 LPA,0.66,0.95
81,4.75,4.796418187846716,-0.05,0.1,0.7,1.4,1,0,5-10 LPA,0.49,0.75
99,8.11,8.788744705764227,-0.68,0.6,0.2,4.3,3,1,5-10 LPA,0.26,0.35
52,6.58,4.782488532812316,1.8,4.9,1.9,0.2,2,0,>10 LPA,-0.15,1.0
90,5.2,4.714639764187763,0.49,2.0,1.1,1.5,0,1,<1 LPA,0.8,0.8
71,6.95,7.119026953823578,-0.17,2.6,1.9,0.4,3,1,1-5 LPA,0.3,0.75
78,4.39,5.3500631651414885,-0.96,0.6,0.4,0.2,5,1,5-10 LPA,-0.2,0.75
88,7.49,7.096478041995036,0.39,2.5,0.6,0.5,1,1,5-10 LPA,-0.83,0.8
91,5.61,4.108757835166501,1.5,0.1,0.6,1.6,2,1,>10 LPA,-0.42,0.8
71,8.79,9.285769156772908,-0.5,0.9,0.0,0.6,0,1,<1 LPA,0.09,0.7
43,5.86,5.351710088939496,0.51,2.0,0.6,0.8,4,0,1-5 LPA,-0.45,1.0
69,6.73,5.778266672727711,0.95,0.3,2.4,5.3,0,1,1-5 LPA,-0.56,0.8
76,4.07,4.0,0.07,3.5,3.4,0.5,0,0,<1 LPA,0.05,1.0
62,4.43,4.28237971387532,0.15,0.5,1.1,1.0,1,0,1-5 LPA,-0.66,1.0
78,6.35,5.8662042683694295,0.48,2.1,0.9,0.5,1,1,5-10 LPA,0.6,0.6
84,6.88,5.115547154320744,1.76,1.0,0.0,0.5,4,0,<1 LPA,-0.03,0.8
54,7.6,8.317652957509706,-0.72,1.8,3.2,1.2,4,0,1-5 LPA,0.15,0.95
82,5.75,6.769900033022978,-1.02,0.2,0.0,2.8,4,0,5-10 LPA,-0.71,0.95
68,8.17,8.691217593071604,-0.52,0.0,4.3,0.8,3,1,1-5 LPA,-0.35,0.8
75,9.16,8.249851463660146,0.91,4.8,1.0,1.5,3,1,>10 LPA,-0.18,0.65
52,8.68,8.518806772841986,0.16,0.6,0.6,0.1,1,0,1-5 LPA,0.62,0.75
71,4.24,4.234782947816433,0.01,3.4,3.9,0.2,1,1,1-5 LPA,0.54,0.85
46,6.88,7.3590355116495285,-0.48,8.0,0.0,0.7,4,0,>10 LPA,-0.55,1.0
98,4.63,5.164672390974465,-0.53,0.5,1.3,0.0,3,1,>10 LPA,0.23,0.65
90,5.45,4.862660960977204,0.59,0.6,1.2,0.3,2,1,<1 LPA,-0.51,0.8
61,9.92,9.985596445130849,-0.07,2.2,0.4,0.7,3,1,5-10 LPA,0.98,0.65
67,4.85,5.215824323692193,-0.37,6.7,0.8,0.0,1,1,<1 LPA,0.9,1.0
41,6.99,8.154657857717414,-1.16,4.9,1.6,0.3,3,1,<1 LPA,0.13,1.0
81,7.71,8.27360523185978,-0.56,1.4,1.9,0.7,1,0,1-5 LPA,0.4,0.75
84,8.21,8.841245349900415,-0.63,3.2,0.0,0.9,4,1,1-5 LPA,0.6,0.55
96,7.36,7.427061302343489,-0.07,0.3,4.1,2.6,4,0,5-10 LPA,0.44,0.55
92,4.06,5.188367316162803,-1.13,7.6,0.3,1.0,4,1,5-10 LPA,0.4,1.0
45,5.96,6.287810236767598,-0.33,6.7,0.4,0.5,2,0,>10 LPA,0.92,1.0
67,7.11,6.421129671861144,0.69,0.4,0.5,2.7,2,1,5-10 LPA,0.19,0.5
67,4.53,5.652695976100153,-1.12,0.7,0.1,1.5,1,0,1-5 LPA,0.27,1.0
83,6.1,6.658322618031222,-0.56,0.2,0.2,0.2,0,0,5-10 LPA,0.7,0.75
83,4.2,4.0,0.2,0.6,6.0,0.1,5,1,>10 LPA,0.34,0.6
59,4.47,4.086405626080605,0.38,3.4,0.6,1.1,2,1,5-10 LPA,0.47,0.9
69,6.38,6.617260436112609,-0.24,1.0,0.2,0.8,1,1,5-10 LPA,-0.53,0.9
50,4.8,5.170547836214068,-0.37,0.2,0.2,1.6,3,1,>10 LPA,-0.26,0.95
97,7.41,7.567833812504965,-0.16,0.8,1.9,1.3,4,1,<1 LPA,-0.71,0.75
94,8.14,8.389046938754309,-0.25,8.0,2.9,1.0,4,0,5-10 LPA,0.01,0.7
67,8.8,10.0,-1.2,2.0,0.4,4.3,4,0,>10 LPA,-0.09,0.85
64,5.2,6.057234521787909,-0.86,1.1,0.0,0.8,1,0,>10 LPA,0.99,0.95
78,5.0,5.15250847301202,-0.15,0.4,0.4,0.1,4,1,1-5 LPA,0.22,0.65
72,4.63,5.383048464613987,-0.75,8.0,0.1,1.8,2,0,1-5 LPA,0.57,1.0
40,7.82,6.993980877177968,0.83,3.4,0.2,0.3,3,0,5-10 LPA,-0.33,0.9
96,8.24,8.558341639957447,-0.32,0.7,0.8,1.5,4,0,1-5 LPA,0.66,0.6
66,4.19,5.637445079786488,-1.45,0.1,0.4,3.1,1,0,5-10 LPA,0.23,0.9
96,9.62,9.4455632836861,0.17,0.1,1.1,1.2,3,1,1-5 LPA,0.39,0.35
91,4.31,4.0,0.31,0.3,0.4,0.9,4,0,1-5 LPA,-0.41,0.9
52,7.25,6.728328889125551,0.52,1.7,4.2,0.6,0,1,1-5 LPA,0.1,0.95
80,8.25,7.37829357012609,0.87,5.3,3.5,0.5,4,1,1-5 LPA,0.27,0.6
42,9.23,8.602190473497838,0.63,1.4,1.3,0.4,5,1,1-5 LPA,0.18,0.65
78,8.28,7.983593521127976,0.3,3.7,0.7,1.0,2,0,1-5 LPA,0.83,0.65
45,8.81,7.685546384657087,1.12,1.2,0.7,1.4,3,1,1-5 LPA,0.8,0.65
47,6.04,6.052494667159682,-0.01,2.5,0.8,1.1,2,0,<1 LPA,0.94,1.0
66,8.89,9.611821739029319,-0.72,2.6,2.0,0.2,0,1,<1 LPA,0.33,0.8
48,4.48,4.0,0.48,0.4,0.9,0.7,0,0,<1 LPA,0.94,1.0
76,9.37,10.0,-0.63,0.9,2.9,1.6,5,1,1-5 LPA,0.66,0.45
72,7.29,7.698633670822076,-0.41,2.0,4.3,0.6,2,1,5-10 LPA,-0.46,1.0
90,8.9,9.724464468499246,-0.82,0.1,0.6,0.8,3,1,<1 LPA,-0.15,0.55
81,6.71,6.1837323569182905,0.53,0.9,1.2,1.5,0,1,<1 LPA,-0.52,0.8
83,7.86,8.543620181653292,-0.68,1.5,0.1,1.1,0,1,5-10 LPA,-0.99,0.9
63,7.16,6.2864528796837496,0.87,8.0,0.3,0.5,4,1,1-5 LPA,-0.62,0.95
54,8.39,9.102198000669208,-0.71,1.3,0.8,2.3,5,0,>10 LPA,-0.99,0.9
98,4.49,4.627471471834825,-0.14,3.4,0.3,0.2,1,1,5-10 LPA,0.44,0.8
93,4.36,4.802600975987827,-0.44,1.1,3.1,5.4,0,1,1-5 LPA,-0.15,0.95
71,5.48,4.539524315500119,0.94,3.2,0.3,0.1,3,1,1-5 LPA,-0.37,0.95
71,4.96,4.243944126178716,0.72,1.8,0.9,0.0,3,0,1-5 LPA,0.52,0.9
63,9.23,9.707782574602708,-0.48,4.4,1.4,2.2,4,1,<1 LPA,0.66,0.65
80,5.32,4.5613215966206395,0.76,1.1,1.8,0.3,3,0,<1 LPA,0.95,0.9
91,9.86,10.0,-0.14,1.9,0.7,1.3,4,0,<1 LPA,0.28,0.8
88,6.02,4.926289754831803,1.09,2.0,3.0,1.7,0,0,5-10 LPA,-0.08,0.85
88,5.09,5.768539370133334,-0.68,1.1,1.3,2.0,0,0,1-5 LPA,-0.39,1.0
97,8.74,7.753981348185193,0.99,0.3,0.9,4.8,0,1,<1 LPA,-0.56,0.6
91,7.95,8.391839950143618,-0.44,0.2,0.1,0.3,0,1,5-10 LPA,-0.57,0.8
51,6.99,7.490504746916801,-0.5,0.0,0.9,1.2,1,0,1-5 LPA,-0.18,1.0
78,7.33,6.77258254525634,0.56,4.1,2.6,0.1,5,1,1-5 LPA,0.98,0.65
41,8.32,8.785621253667781,-0.47,0.5,1.4,0.5,5,1,1-5 LPA,-1.0,0.85
42,5.37,5.578353810666845,-0.21,0.5,2.7,1.9,1,1,1-5 LPA,-0.61,1.0
88,9.98,9.54892651504581,0.43,2.7,1.0,0.5,0,1,>10 LPA,-0.62,0.8
76,9.85,9.043156252739033,0.81,0.8,0.2,0.9,3,1,<1 LPA,0.43,0.35
88,7.9,6.329899446661937,1.57,1.4,0.0,0.7,4,0,1-5 LPA,-0.3,0.7
95,5.2,5.479720037839755,-0.28,0.4,0.5,1.0,5,1,1-5 LPA,-0.09,0.75
56,8.08,6.828157782910356,1.25,6.4,1.8,3.6,2,1,1-5 LPA,-0.7,0.9
98,4.43,4.5062753595530465,-0.08,3.8,2.3,0.1,4,1,1-5 LPA,-0.19,0.85
88,4.18,4.0,0.18,4.0,0.5,0.9,2,1,5-10 LPA,-0.79,0.9
41,5.55,6.093314220350556,-0.54,1.0,1.0,2.0,2,1,>10 LPA,0.07,0.9
41,6.78,6.5383636004081085,0.24,2.9,0.8,0.7,0,1,1-5 LPA,-0.8,1.0
67,9.21,8.946441770922327,0.26,0.3,0.8,0.1,2,0,1-5 LPA,0.58,0.65
93,8.36,8.945496563430636,-0.59,0.0,0.4,0.8,0,0,5-10 LPA,0.13,0.65
62,8.46,8.728046423267294,-0.27,0.0,0.2,0.4,1,1,1-5 LPA,0.45,0.6
76,6.55,6.802924765746223,-0.25,1.8,0.3,0.2,3,1,1-5 LPA,-0.16,0.75
71,6.08,6.455414071846821,-0.38,1.2,0.1,1.9,2,1,<1 LPA,-0.24,0.9
72,6.23,5.001542301434315,1.23,1.5,0.3,0.7,3,1,1-5 LPA,-0.8,0.85
40,9.93,10.0,-0.07,0.0,0.0,2.7,0,1,1-5 LPA,0.05,0.7
